tm     Tsp    T1     Q1    
 154.0  58.00  51.57  82.21 
 155.1  58.00  51.57  81.66 
 156.1  58.00  51.89  81.10 
 157.0  58.00  51.89  80.64 
 158.1  58.00  52.21  80.05 
 159.1  58.00  52.21  79.57 
 160.0  58.00  52.53  79.07 
 161.1  58.00  52.53  78.56 
 162.0  58.00  52.53  78.17 
 163.0  58.00  52.86  77.77 
 164.0  58.00  53.18  77.22 
 165.0  58.00  53.18  76.79 
 166.0  58.00  53.18  76.35 
 167.1  58.00  53.50  75.77 
 168.1  58.00  53.50  75.30 
 169.1  58.00  53.82  74.82 
 170.1  58.00  53.82  74.33 
 171.1  58.00  53.82  73.96 
 172.0  58.00  53.82  73.58 
 173.0  58.00  54.15  73.18 
 174.0  58.00  54.15  72.78 
 175.0  58.00  54.15  72.50 
 176.0  58.00  54.47  72.08 
 177.0  58.00  54.47  71.64 
 178.1  58.00  54.79  71.20 
 179.1  58.00  54.79  70.88 
 180.1  58.00  54.79  70.55 
 181.0  58.00  54.79  70.21 
 182.1  58.00  55.11  69.86 
 183.1  58.00  55.11  69.50 
 184.1  58.00  55.11  69.27 
 185.0  58.00  55.44  68.89 
 186.0  58.00  55.44  68.51 
 187.1  58.00  55.44  68.12 
 188.1  58.00  55.44  67.86 
 189.1  58.00  55.44  67.58 
 190.1  58.00  55.76  67.17 
 191.1  58.00  55.76  66.88 
 192.1  58.00  55.76  66.58 
 193.0  58.00  55.76  66.41 
 194.1  58.00  55.76  66.23 
 195.1  58.00  55.76  66.05 
 196.1  58.00  55.76  65.86 
 197.1  58.00  56.08  65.67 
 198.1  58.00  56.08  65.47 
 199.0  58.00  56.08  65.26 
 200.1  58.00  56.40  65.05 
 201.1  58.00  56.40  64.84 
 202.1  58.00  56.40  64.62 
 203.0  58.00  56.40  64.40 
 204.0  58.00  56.40  64.17 
 205.1  58.00  56.40  64.06 
 206.1  58.00  56.40  63.95 
 207.1  58.00  56.40  63.84 
 208.1  58.00  56.40  63.73 
 209.1  58.00  56.72  63.48 
 210.1  58.00  56.72  63.23 
 211.0  58.00  56.72  62.97 
 212.1  58.00  56.72  62.83 
 213.1  58.00  56.72  62.70 
 214.1  58.00  56.72  62.56 
 215.1  58.00  56.72  62.54 
 216.0  58.00  56.72  62.53 
 217.0  58.00  56.72  62.51 
 218.1  58.00  56.72  62.49 
 219.1  58.00  57.05  62.34 
 220.0  58.00  57.05  62.19 
 221.0  58.00  57.05  62.03 
 222.0  58.00  57.05  61.87 
 223.0  58.00  57.05  61.71 
 224.1  58.00  57.05  61.67 
 225.1  58.00  57.05  61.63 
 226.0  58.00  57.05  61.59 
 227.0  58.00  57.05  61.55 
 228.1  58.00  57.05  61.50 
 229.0  58.00  57.05  61.46 
 230.0  58.00  57.05  61.41 
 231.0  58.00  57.05  61.36 
 232.0  58.00  57.05  61.31 
 233.0  58.00  57.05  61.26 
 234.1  58.00  57.05  61.33 
 235.0  58.00  57.05  61.41 
 236.0  58.00  57.05  61.49 
