tm     Tsp    T1     Q1    
 132.0  68.00  47.38 100.00 100.00
 133.0  68.00  47.38 100.00 100.00
 134.0  68.00  47.70 100.00 100.00
 135.0  68.00  48.02 100.00 100.00
 136.0  68.00  48.34 100.00 100.00
 137.0  68.00  48.34 100.00 100.00
 138.0  68.00  48.67 100.00 100.00
 139.0  68.00  48.99 100.00 100.00
 140.0  68.00  48.99 100.00 100.00
 141.0  68.00  49.31 100.00 100.00
 142.0  68.00  49.63 100.00 100.00
 143.0  68.00  49.96 100.00 100.00
 144.0  68.00  49.96 100.00 100.00
 145.0  68.00  50.28 100.00 100.00
 146.0  68.00  50.60 100.00 100.00
 147.0  68.00  50.60 100.00 100.00
 148.0  68.00  50.92 100.00 100.00
 149.0  68.00  51.25 100.00 100.00
 150.0  68.00  51.25 100.00 100.00
 151.0  68.00  51.57 100.00 100.00
 152.0  68.00  51.89 100.00 100.00
 153.0  68.00  51.89 100.00 100.00
 154.0  68.00  52.21 100.00 100.00
 155.0  68.00  52.21 100.00 100.00
 156.0  68.00  52.53 100.00 100.00
 157.0  68.00  52.86 100.00 100.00
 158.0  68.00  52.86 100.00 100.00
 159.0  68.00  53.18 100.00 100.00
 160.0  68.00  53.18 100.00 100.00
 161.0  68.00  53.50 100.00 100.00
 162.0  68.00  53.82 100.00  99.02
 163.0  68.00  53.82 100.00  99.10
 164.0  68.00  54.15 100.00  99.16
 165.0  68.00  54.47 100.00  99.07
 166.0  68.00  54.47 100.00  99.10
 167.0  68.00  54.79 100.00  99.12
 168.0  68.00  54.79 100.00  99.11
 169.0  68.00  55.11 100.00  99.10
 170.0  68.00  55.11 100.00  99.06
 171.0  68.00  55.44 100.00  99.01
 172.0  68.00  55.76 100.00  98.95
 173.0  68.00  55.76 100.00  98.87
 174.0  68.00  56.08 100.00  98.78
 175.0  68.00  56.08 100.00  98.66
 176.0  68.00  56.40 100.00  98.54
 177.0  68.00  56.40 100.00  98.53
 178.0  68.00  56.72 100.00  98.37
 179.0  68.00  56.72 100.00  98.33
 180.0  68.00  57.05 100.00  98.28
 181.0  68.00  57.05 100.00  98.21
 182.0  68.00  57.37 100.00  98.13
 183.0  68.00  57.69 100.00  97.90
 184.0  68.00  57.69 100.00  97.79
 185.0  68.00  58.01 100.00  97.54
 186.0  68.00  58.01 100.00  97.40
 187.0  68.00  58.01 100.00  97.38
 188.0  68.00  58.34 100.00  97.21
 189.0  68.00  58.66 100.00  97.03
 190.0  68.00  58.66 100.00  96.84
 191.0  68.00  58.66 100.00  96.76
 192.0  68.00  58.98  99.76  96.54
 193.0  68.00  58.98  99.52  96.44
 194.0  68.00  59.30  99.25  96.20
 195.0  68.00  59.30  99.00  96.07
 196.0  68.00  59.63  98.72  95.80
 197.0  68.00  59.63  98.46  95.65
 198.0  68.00  59.95  98.20  95.48
 199.0  68.00  59.95  97.93  95.30
 200.0  68.00  60.27  97.65  95.11
 201.0  68.00  60.27  97.37  94.91
 202.0  68.00  60.27  97.09  94.70
 203.0  68.00  60.59  96.81  94.47
 204.0  68.00  60.91  96.52  94.24
 205.0  68.00  60.91  96.21  93.99
 206.0  68.00  60.91  95.91  93.73
 207.0  68.00  61.24  95.61  93.45
 208.0  68.00  61.24  95.30  93.17
 209.0  68.00  61.56  94.99  92.87
 210.0  68.00  61.56  94.67  92.56
 211.0  68.00  61.56  94.38  92.37
 212.0  68.00  61.88  94.07  92.03
 213.0  68.00  61.88  93.78  91.82
 214.0  68.00  61.88  93.49  91.60
 215.0  68.00  62.20  93.20  91.36
 216.0  68.00  62.20  92.91  91.12
 217.0  68.00  62.53  92.59  90.73
 218.0  68.00  62.53  92.29  90.47
 219.0  68.00  62.53  92.02  90.32
 220.0  68.00  62.85  91.72  90.03
 221.0  68.00  62.85  91.42  89.74
 222.0  68.00  62.85  91.14  89.56
 223.0  68.00  63.17  90.84  89.25
 224.0  68.00  63.17  90.57  89.05
 225.0  68.00  63.17  90.29  88.85
 226.0  68.00  63.17  90.02  88.64
 227.0  68.00  63.49  89.75  88.42
 228.0  68.00  63.49  89.48  88.19
 229.0  68.00  63.82  89.18  87.82
 230.0  68.00  63.82  88.90  87.57
 231.0  68.00  63.82  88.61  87.31
 232.0  68.00  63.82  88.37  87.18
 233.0  68.00  64.14  88.10  86.91
 234.0  68.00  64.14  87.81  86.63
 235.0  68.00  64.14  87.57  86.47
 236.0  68.00  64.46  87.29  86.17
 237.0  68.00  64.46  87.00  85.87
 238.0  68.00  64.46  86.75  85.69
 239.0  68.00  64.46  86.49  85.50
 240.0  68.00  64.78  86.21  85.17
 241.0  68.00  64.78  85.93  84.83
 242.0  68.00  64.78  85.68  84.62
 243.0  68.00  64.78  85.43  84.40
 244.0  68.00  64.78  85.23  84.30
 245.0  68.00  65.10  85.00  84.07
 246.0  68.00  65.10  84.76  83.83
 247.0  68.00  65.10  84.52  83.58
 248.0  68.00  65.10  84.32  83.46
 249.0  68.00  65.10  84.13  83.33
 250.0  68.00  65.10  83.94  83.20
 251.0  68.00  65.43  83.77  83.06
 252.0  68.00  65.43  83.59  82.92
 253.0  68.00  65.43  83.40  82.77
 254.0  68.00  65.43  83.21  82.62
 255.0  68.00  65.75  83.03  82.46
 256.0  68.00  65.75  82.84  82.30
 257.0  68.00  65.75  82.63  82.13
 258.0  68.00  65.75  82.43  81.95
 259.0  68.00  65.75  82.23  81.77
 260.0  68.00  65.75  82.08  81.72
 261.0  68.00  65.75  81.93  81.66
 262.0  68.00  66.07  81.76  81.47
 263.0  68.00  66.07  81.57  81.28
 264.0  68.00  66.07  81.37  81.07
 265.0  68.00  66.07  81.18  80.87
 266.0  68.00  66.07  81.04  80.79
 267.0  68.00  66.07  80.90  80.70
 268.0  68.00  66.07  80.77  80.61
 269.0  68.00  66.39  80.60  80.39
 270.0  68.00  66.39  80.47  80.30
 271.0  68.00  66.39  80.32  80.20
 272.0  68.00  66.39  80.18  80.09
 273.0  68.00  66.39  80.03  79.98
 274.0  68.00  66.39  79.89  79.87
 275.0  68.00  66.39  79.75  79.76
 276.0  68.00  66.39  79.62  79.64
 277.0  68.00  66.39  79.54  79.65
 278.0  68.00  66.72  79.43  79.53
 279.0  68.00  66.39  79.34  79.54
 280.0  68.00  66.72  79.22  79.41
 281.0  68.00  66.72  79.10  79.28
 282.0  68.00  66.72  78.97  79.14
 283.0  68.00  66.72  78.84  79.00
 284.0  68.00  66.72  78.76  78.99
 285.0  68.00  66.72  78.67  78.98
 286.0  68.00  66.72  78.59  78.97
 287.0  68.00  66.72  78.51  78.95
 288.0  68.00  66.72  78.43  78.93
 289.0  68.00  66.72  78.36  78.91
 290.0  68.00  66.72  78.30  78.89
 291.0  68.00  66.72  78.24  78.87
 292.0  68.00  66.72  78.18  78.85
 293.0  68.00  66.72  78.17  78.95
 294.0  68.00  66.72  78.13  78.92
 295.0  68.00  66.72  78.13  79.03
 296.0  68.00  67.04  78.09  79.00
 297.0  68.00  67.04  78.03  78.97
 298.0  68.00  67.04  77.96  78.94
 299.0  68.00  67.04  77.88  78.90
 300.0  68.00  67.04  77.79  78.87
 301.0  68.00  67.04  77.71  78.83
 302.0  68.00  67.04  77.62  78.79
 303.0  68.00  67.04  77.53  78.76
 304.0  68.00  67.04  77.45  78.71
 305.0  68.00  67.04  77.37  78.67
 306.0  68.00  67.04  77.30  78.62
 307.0  68.00  67.04  77.23  78.58
 308.0  68.00  67.04  77.17  78.53
 309.0  68.00  67.04  77.11  78.48
 310.0  68.00  67.04  77.07  78.43
 311.0  68.00  67.04  77.07  78.50
 312.0  68.00  67.04  77.07  78.58
 313.0  68.00  67.04  77.07  78.66
 314.0  68.00  67.04  77.07  78.73
 315.0  68.00  67.04  77.07  78.81
 316.0  68.00  67.04  77.07  78.89
 317.0  68.00  67.04  77.07  78.97
 318.0  68.00  67.04  77.07  79.04
 319.0  68.00  67.04  77.07  79.12
 320.0  68.00  67.04  77.07  79.20
 321.0  68.00  67.04  77.07  79.27
 322.0  68.00  67.04  77.07  79.35
 323.0  68.00  67.04  77.07  79.43
 324.0  68.00  67.04  77.07  79.50
 325.0  68.00  67.04  77.07  79.58
 326.0  68.00  67.04  77.07  79.66
 327.0  68.00  67.04  77.07  79.73
 328.0  68.00  67.04  77.07  79.81
 329.0  68.00  67.04  77.07  79.89
 330.0  68.00  67.04  77.07  79.97
 331.0  68.00  67.04  77.07  80.04
 332.0  68.00  67.04  77.07  80.12
 333.0  68.00  67.04  77.07  80.20
 334.0  68.00  67.04  77.07  80.27
 335.0  68.00  67.04  77.07  80.35
 336.0  68.00  67.36  77.03  80.30
 337.0  68.00  67.04  77.01  80.37
 338.0  68.00  67.04  76.99  80.45
 339.0  68.00  67.04  76.98  80.52
 340.0  68.00  67.04  76.98  80.60
 341.0  68.00  67.04  76.98  80.67
 342.0  68.00  67.04  76.98  80.75
 343.0  68.00  67.04  76.98  80.82
 344.0  68.00  67.04  76.98  80.90
 345.0  68.00  67.04  76.99  80.97
 346.0  68.00  67.04  76.99  81.05
 347.0  68.00  67.04  77.00  81.12
 348.0  68.00  67.04  77.01  81.20
 349.0  68.00  67.04  77.01  81.27
 350.0  68.00  67.04  77.02  81.35
 351.0  68.00  67.04  77.07  81.56
 352.0  68.00  67.04  77.07  81.63
 353.0  68.00  67.04  77.07  81.71
 354.0  68.00  67.04  77.07  81.79
 355.0  68.00  67.04  77.07  81.86
 356.0  68.00  67.04  77.07  81.94
 357.0  68.00  67.04  77.07  82.02
 358.0  68.00  67.04  77.07  82.09
 359.0  68.00  67.04  77.07  82.17
 360.0  68.00  67.04  77.07  82.25
 361.0  68.00  67.04  77.07  82.32
 362.0  68.00  67.04  77.07  82.40
 363.0  68.00  67.04  77.07  82.48
 364.0  68.00  67.04  77.07  82.56
 365.0  68.00  67.04  77.07  82.63
 366.0  68.00  67.04  77.07  82.71
 367.0  68.00  67.04  77.07  82.79
 368.0  68.00  67.04  77.07  82.86
 369.0  68.00  67.04  77.07  82.94
 370.0  68.00  67.04  77.07  83.02
 371.0  68.00  67.04  77.07  83.09
 372.0  68.00  67.04  77.07  83.17
 373.0  68.00  67.04  77.07  83.25
 374.0  68.00  67.04  77.07  83.32
 375.0  68.00  67.04  77.07  83.40
 378.0  68.00  67.04  77.07  83.48
 379.0  68.00  67.04  77.07  83.56
 380.0  68.00  67.36  77.03  83.50
 381.0  68.00  67.04  77.01  83.58
 382.0  68.00  67.04  76.99  83.65
 383.0  68.00  67.36  76.95  83.60
 384.0  68.00  67.04  76.92  83.67
 385.0  68.00  67.04  76.90  83.74
 386.0  68.00  67.04  76.90  83.82
 387.0  68.00  67.04  76.89  83.89
 388.0  68.00  67.04  76.89  83.96
 389.0  68.00  67.04  76.90  84.04
 390.0  68.00  67.04  76.91  84.11
 391.0  68.00  67.04  76.92  84.18
 392.0  68.00  67.04  76.93  84.26
 393.0  68.00  67.04  76.94  84.33
 394.0  68.00  67.04  76.95  84.41
 395.0  68.00  67.04  77.01  84.61
 396.0  68.00  67.04  77.01  84.68
 397.0  68.00  67.04  77.02  84.76
 398.0  68.00  67.04  77.07  84.97
 399.0  68.00  67.04  77.07  85.04
 400.0  68.00  67.04  77.07  85.12
 401.0  68.00  67.04  77.07  85.20
 402.0  68.00  67.04  77.07  85.27
 403.0  68.00  67.04  77.07  85.35
 404.0  68.00  67.04  77.07  85.43
 405.0  68.00  67.04  77.07  85.50
 406.0  68.00  67.04  77.07  85.58
 407.0  68.00  67.04  77.07  85.66
 408.0  68.00  67.04  77.07  85.73
 409.0  68.00  67.04  77.07  85.81
 410.0  68.00  67.04  77.07  85.89
 411.0  68.00  67.04  77.07  85.97
 412.0  68.00  67.04  77.07  86.04
 413.0  68.00  67.04  77.07  86.12
 414.0  68.00  67.04  77.07  86.20
 415.0  68.00  67.04  77.07  86.27
 416.0  68.00  67.04  77.07  86.35
 417.0  68.00  67.04  77.07  86.43
 418.0  68.00  67.04  77.07  86.50
 419.0  68.00  67.04  77.07  86.58
 420.0  68.00  67.04  77.07  86.66
 421.0  68.00  67.04  77.07  86.73
 422.0  68.00  67.04  77.07  86.81
 423.0  68.00  67.04  77.07  86.89
 424.0  68.00  67.04  77.07  86.97
 425.0  68.00  67.04  77.07  87.04
 426.0  68.00  67.04  77.07  87.12
 427.0  68.00  67.04  77.07  87.20
 428.0  68.00  67.04  77.07  87.27
 429.0  68.00  67.04  77.07  87.35
 430.0  68.00  67.04  77.07  87.43
 431.0  68.00  67.04  77.07  87.50
 432.0  68.00  67.04  77.07  87.58
 433.0  68.00  67.04  77.07  87.66
 434.0  68.00  67.04  77.07  87.74
 435.0  68.00  67.04  77.07  87.81
 436.0  68.00  67.04  77.07  87.89
 437.0  68.00  67.04  77.07  87.97
 438.0  68.00  67.04  77.07  88.04
 439.0  68.00  67.04  77.07  88.12
 440.0  68.00  67.04  77.07  88.20
 441.0  68.00  67.04  77.07  88.27
 442.0  68.00  67.04  77.07  88.35
 443.0  68.00  67.04  77.07  88.43
 444.0  68.00  67.04  77.07  88.50
 445.0  68.00  67.04  77.07  88.58
 446.0  68.00  67.04  77.07  88.66
 447.0  68.00  67.04  77.07  88.74
 448.0  68.00  67.04  77.07  88.81
 449.0  68.00  67.04  77.07  88.89
 450.0  68.00  67.04  77.07  88.97
 451.0  68.00  67.04  77.07  89.04
 452.0  68.00  67.04  77.07  89.12
 453.0  68.00  67.04  77.07  89.20
 454.0  68.00  67.04  77.07  89.27
 455.0  68.00  67.04  77.07  89.35
 456.0  68.00  67.04  77.07  89.43
 457.0  68.00  67.04  77.07  89.50
 458.0  68.00  67.04  77.07  89.58
 459.0  70.00  67.04  77.82  90.47
 460.0  70.00  67.04  78.77  91.37
 461.0  70.00  67.04  79.71  92.28
 462.0  70.00  67.04  80.56  93.20
 463.0  70.00  67.04  81.30  94.13
 464.0  70.00  67.04  81.95  95.07
 465.0  70.00  67.04  82.53  96.02
 466.0  70.00  67.04  83.06  96.98
 467.0  70.00  67.04  83.55  97.95
 468.0  70.00  67.04  84.01  98.94
 469.0  70.00  67.04  84.43  99.93
 470.0  70.00  67.04  84.81 100.00
 471.0  70.00  67.04  85.15 100.00
 472.0  70.00  67.04  85.45 100.00
 473.0  70.00  67.04  85.69 100.00
 474.0  70.00  67.04  85.69 100.00
 475.0  70.00  67.04  85.69 100.00
 476.0  70.00  67.36  85.66 100.00
 477.0  70.00  67.04  85.64 100.00
 478.0  70.00  67.36  85.59 100.00
 479.0  70.00  67.36  85.53 100.00
 480.0  70.00  67.36  85.46 100.00
 481.0  70.00  67.36  85.39 100.00
 482.0  70.00  67.36  85.31 100.00
 483.0  70.00  67.36  85.24 100.00
 484.0  70.00  67.36  85.16 100.00
 485.0  70.00  67.36  85.09 100.00
 486.0  70.00  67.36  85.02 100.00
 487.0  70.00  67.36  84.96 100.00
 488.0  70.00  67.36  84.90 100.00
 489.0  70.00  67.36  84.85 100.00
 490.0  70.00  67.36  84.80 100.00
 491.0  70.00  67.68  84.76 100.00
 492.0  70.00  67.36  84.70 100.00
 493.0  70.00  67.36  84.68 100.00
 494.0  70.00  67.68  84.64 100.00
 495.0  70.00  67.68  84.58 100.00
 496.0  70.00  67.68  84.52 100.00
 497.0  70.00  67.68  84.44 100.00
 498.0  70.00  67.68  84.37 100.00
 499.0  70.00  67.68  84.29 100.00
 500.0  70.00  67.68  84.22 100.00
 501.0  70.00  67.68  84.15 100.00
 502.0  70.00  67.68  84.08 100.00
 503.0  70.00  67.68  84.01  99.97
 504.0  70.00  67.68  83.95 100.00
 505.0  70.00  67.68  83.90  99.90
 506.0  70.00  68.01  83.85  99.96
 507.0  70.00  67.68  83.78 100.00
 508.0  70.00  68.01  83.69  99.76
 509.0  70.00  68.01  83.63  99.81
 510.0  70.00  68.01  83.56  99.86
 511.0  70.00  68.01  83.48  99.90
 512.0  70.00  68.01  83.40  99.95
 513.0  70.00  68.01  83.32 100.00
 514.0  70.00  68.01  83.25 100.00
 515.0  70.00  68.01  83.17  99.91
 516.0  70.00  68.01  83.10  99.95
 517.0  70.00  68.01  83.03  99.98
 518.0  70.00  68.01  82.97 100.00
 519.0  70.00  68.01  82.92  99.89
 520.0  70.00  68.33  82.83  99.79
 521.0  70.00  68.01  82.80  99.95
 522.0  70.00  68.33  82.71  99.85
 523.0  70.00  68.33  82.65  99.87
 524.0  70.00  68.33  82.57  99.90
 525.0  70.00  68.33  82.50  99.92
 526.0  70.00  68.33  82.42  99.94
 527.0  70.00  68.33  82.34  99.96
 528.0  70.00  68.33  82.26  99.98
 529.0  70.00  68.33  82.18  99.99
 530.0  70.00  68.33  82.11 100.00
 531.0  70.00  68.33  82.04  99.87
 532.0  70.00  68.33  81.98  99.88
 533.0  70.00  68.33  81.92  99.89
 534.0  70.00  68.33  81.87  99.90
 535.0  70.00  68.33  81.86 100.00
 536.0  70.00  68.33  81.82  99.90
 537.0  70.00  68.65  81.78  99.91
 538.0  70.00  68.33  81.76 100.00
 539.0  70.00  68.65  81.71  99.91
 540.0  70.00  68.33  81.69 100.00
 541.0  70.00  68.33  81.67 100.00
 542.0  70.00  68.65  81.62  99.91
 543.0  70.00  68.65  81.56  99.91
 544.0  70.00  68.65  81.49  99.90
 545.0  70.00  68.65  81.42  99.90
 546.0  70.00  68.65  81.34  99.89
 547.0  70.00  68.65  81.27  99.88
 548.0  70.00  68.65  81.19  99.87
 549.0  70.00  68.65  81.12  99.86
 550.0  70.00  68.65  81.06  99.84
 551.0  70.00  68.65  80.99  99.83
 552.0  70.00  68.65  80.98  99.94
 553.0  70.00  68.65  80.92  99.92
 554.0  70.00  68.65  80.90 100.00
 555.0  70.00  68.65  80.85  99.90
 556.0  70.00  68.65  80.81  99.88
 557.0  70.00  68.65  80.81  99.99
 558.0  70.00  68.65  80.81 100.00
 559.0  70.00  68.65  80.81 100.00
 560.0  70.00  68.65  80.81 100.00
 561.0  70.00  68.65  80.81 100.00
 562.0  70.00  68.65  80.81 100.00
 563.0  70.00  68.65  80.81 100.00
 564.0  70.00  68.65  80.81 100.00
 565.0  70.00  68.97  80.77  99.97
 566.0  70.00  68.65  80.75 100.00
 567.0  70.00  68.65  80.74 100.00
 568.0  70.00  68.65  80.73 100.00
 569.0  70.00  68.65  80.72 100.00
 570.0  70.00  68.65  80.72 100.00
 571.0  70.00  68.65  80.72 100.00
 572.0  70.00  68.65  80.73 100.00
 573.0  70.00  68.65  80.73 100.00
 574.0  70.00  68.65  80.73 100.00
 575.0  70.00  68.65  80.74 100.00
 576.0  70.00  68.65  80.74 100.00
 577.0  70.00  68.65  80.75 100.00
 578.0  70.00  68.65  80.76 100.00
 579.0  70.00  68.65  80.76 100.00
 580.0  70.00  68.97  80.77 100.00
 581.0  70.00  68.65  80.75 100.00
 582.0  70.00  68.65  80.74 100.00
 583.0  70.00  68.65  80.73 100.00
 584.0  70.00  68.65  80.72 100.00
 585.0  70.00  68.97  80.69  99.95
 586.0  70.00  68.97  80.63  99.92
 587.0  70.00  68.65  80.60 100.00
 588.0  70.00  68.97  80.54  99.89
 589.0  70.00  68.97  80.48  99.86
 590.0  70.00  68.97  80.40  99.83
 591.0  70.00  68.97  80.33  99.80
 592.0  70.00  68.65  80.29  99.89
 593.0  70.00  68.97  80.24  99.86
 594.0  70.00  68.65  80.22  99.95
 595.0  70.00  68.97  80.22 100.00
 596.0  70.00  68.97  80.17  99.92
 597.0  70.00  68.97  80.11  99.88
 598.0  70.00  68.97  80.06  99.84
 599.0  70.00  68.97  80.01  99.80
 600.0  70.00  68.97  80.00  99.88
 601.0  70.00  68.97  79.98  99.97
 602.0  70.00  68.97  79.93  99.93
 603.0  70.00  68.97  79.92 100.00
 604.0  70.00  68.97  79.91 100.00
 605.0  70.00  68.97  79.90 100.00
 606.0  70.00  68.97  79.88 100.00
 607.0  70.00  68.97  79.83  99.88
 608.0  70.00  68.97  79.82  99.97
 609.0  70.00  68.65  79.81 100.00
 610.0  70.00  68.97  79.84 100.00
 611.0  70.00  68.97  79.85 100.00
 612.0  70.00  68.97  79.86 100.00
 613.0  70.00  68.97  79.86 100.00
 614.0  70.00  68.97  79.86 100.00
 615.0  70.00  68.97  79.86 100.00
 616.0  70.00  68.97  79.86 100.00
 617.0  70.00  68.97  79.86 100.00
 618.0  70.00  68.97  79.85 100.00
 619.0  70.00  68.97  79.85 100.00
 620.0  70.00  68.97  79.84 100.00
 621.0  70.00  68.97  79.84 100.00
 622.0  70.00  68.97  79.83 100.00
 623.0  70.00  68.97  79.82 100.00
 624.0  70.00  68.97  79.78  99.92
 625.0  70.00  68.97  79.78 100.00
 626.0  70.00  68.97  79.78 100.00
 627.0  70.00  68.97  79.78 100.00
 628.0  70.00  68.97  79.78 100.00
 629.0  70.00  68.97  79.78 100.00
 630.0  70.00  68.97  79.78 100.00
 631.0  70.00  68.97  79.78 100.00
 632.0  70.00  68.97  79.78 100.00
 633.0  70.00  68.97  79.78 100.00
 634.0  70.00  68.97  79.78 100.00
 635.0  70.00  68.97  79.78 100.00
 636.0  70.00  68.97  79.78 100.00
 637.0  70.00  68.97  79.78 100.00
 638.0  70.00  68.97  79.78 100.00
 639.0  70.00  68.97  79.78 100.00
 640.0  70.00  68.97  79.78 100.00
 641.0  70.00  68.97  79.78 100.00
 642.0  70.00  68.97  79.78 100.00
 643.0  70.00  68.97  79.78 100.00
 644.0  70.00  68.97  79.78 100.00
 645.0  70.00  68.97  79.78 100.00
 646.0  70.00  68.97  79.78 100.00
 647.0  70.00  68.97  79.78 100.00
 648.0  70.00  68.65  79.81 100.00
 649.0  70.00  68.97  79.84 100.00
 650.0  70.00  68.97  79.85 100.00
 651.0  70.00  68.97  79.86 100.00
 652.0  70.00  68.97  79.86 100.00
 653.0  70.00  68.97  79.86 100.00
 654.0  70.00  68.97  79.86 100.00
 655.0  70.00  68.97  79.86 100.00
 656.0  70.00  68.97  79.86 100.00
 657.0  70.00  68.97  79.85 100.00
 658.0  70.00  68.65  79.89 100.00
 659.0  70.00  68.97  79.90 100.00
 660.0  70.00  68.97  79.91 100.00
 661.0  70.00  68.97  79.91 100.00
 662.0  70.00  68.97  79.91 100.00
 663.0  70.00  68.97  79.86 100.00
 664.0  70.00  68.97  79.86 100.00
 665.0  70.00  68.97  79.86 100.00
 666.0  70.00  68.97  79.86 100.00
 667.0  70.00  68.65  79.89 100.00
 668.0  70.00  68.97  79.91 100.00
 669.0  70.00  68.97  79.92 100.00
 670.0  70.00  68.97  79.92 100.00
 671.0  70.00  68.97  79.91 100.00
