tm     Tsp    T1     Q1    
 136.0  63.00  48.02 100.00 100.00
 137.0  63.00  48.02 100.00 100.00
 138.0  63.00  48.34 100.00 100.00
 139.0  63.00  48.67 100.00 100.00
 140.0  63.00  48.99  99.32 100.00
 141.0  63.00  48.99  99.15 100.00
 142.0  63.00  49.31  98.95 100.00
 143.0  63.00  49.63  98.74 100.00
 144.0  63.00  49.63  98.64 100.00
 145.0  63.00  49.96  98.39 100.00
 146.0  63.00  49.96  98.25 100.00
 147.0  63.00  50.28  98.10 100.00
 148.0  63.00  50.60  97.93 100.00
 149.0  63.00  50.92  97.61 100.00
 150.0  63.00  51.25  97.27 100.00
 151.0  63.00  51.25  97.04 100.00
 152.0  63.00  51.57  96.67 100.00
 153.0  63.00  51.57  96.40 100.00
 154.0  63.00  51.89  96.12 100.00
 155.0  63.00  52.21  95.83 100.00
 156.0  63.00  52.21  95.51 100.00
 157.0  63.00  52.53  95.18  99.91
 158.0  63.00  52.53  94.96  99.52
 159.0  63.00  52.86  94.60  99.09
 160.0  63.00  52.86  94.35  98.68
 161.0  63.00  53.18  93.95  98.24
 162.0  63.00  53.50  93.54  97.79
 163.0  63.00  53.50  93.24  97.36
 164.0  63.00  53.82  92.92  96.94
 165.0  63.00  54.15  92.59  96.50
 166.0  63.00  54.15  92.24  96.05
 167.0  63.00  54.47  91.88  95.60
 168.0  63.00  54.47  91.50  95.13
 169.0  63.00  54.47  91.24  94.71
 170.0  63.00  54.79  90.96  94.29
 171.0  63.00  55.11  90.54  93.82
 172.0  63.00  55.11  90.23  93.38
 173.0  63.00  55.11  89.91  92.94
 174.0  63.00  55.44  89.58  92.50
 175.0  63.00  55.44  89.23  92.06
 176.0  63.00  55.76  88.87  91.63
 177.0  63.00  55.76  88.63  91.23
 178.0  63.00  56.08  88.24  90.79
 179.0  63.00  56.08  87.97  90.38
 180.0  63.00  56.40  87.69  89.98
 181.0  63.00  56.40  87.40  89.57
 182.0  63.00  56.72  87.09  89.16
 183.0  63.00  56.72  86.77  88.74
 184.0  63.00  57.05  86.31  88.28
 185.0  63.00  57.05  85.97  87.86
 186.0  63.00  57.05  85.74  87.48
 187.0  63.00  57.37  85.38  87.06
 188.0  63.00  57.37  85.00  86.63
 189.0  63.00  57.69  84.61  86.21
 190.0  63.00  57.69  84.21  85.78
 191.0  63.00  58.01  83.79  85.36
 192.0  63.00  58.01  83.37  84.92
 193.0  63.00  58.01  83.06  84.53
 194.0  63.00  58.01  82.74  84.15
 195.0  63.00  58.34  82.41  83.78
 196.0  63.00  58.66  81.94  83.37
 197.0  63.00  58.34  81.72  83.02
 198.0  63.00  58.66  81.36  82.65
 199.0  63.00  58.66  81.12  82.32
 200.0  63.00  58.98  80.75  81.95
 201.0  63.00  58.98  80.36  81.57
 202.0  63.00  58.98  80.09  81.23
 203.0  63.00  58.98  79.81  80.91
 204.0  63.00  59.30  79.53  80.60
 205.0  63.00  59.30  79.23  80.27
 206.0  63.00  59.30  79.06  80.00
 207.0  63.00  59.63  78.75  79.68
 208.0  63.00  59.63  78.44  79.35
 209.0  63.00  59.63  78.11  79.02
 210.0  63.00  59.63  77.90  78.75
 211.0  63.00  59.95  77.69  78.49
 212.0  63.00  59.95  77.34  78.17
 213.0  63.00  59.95  77.12  77.89
 214.0  63.00  59.95  76.88  77.62
 215.0  63.00  59.95  76.77  77.41
 216.0  63.00  60.27  76.53  77.15
 217.0  63.00  60.27  76.28  76.89
 218.0  63.00  60.27  76.02  76.62
 219.0  63.00  60.27  75.88  76.41
 220.0  63.00  60.59  75.61  76.16
 221.0  63.00  60.59  75.33  75.89
 222.0  63.00  60.59  75.18  75.68
 223.0  63.00  60.59  75.02  75.46
 224.0  63.00  60.59  74.85  75.25
 225.0  63.00  60.59  74.68  75.05
 226.0  63.00  60.91  74.51  74.86
 227.0  63.00  60.91  74.33  74.65
 228.0  63.00  60.91  74.14  74.43
 229.0  63.00  60.91  73.95  74.22
 230.0  63.00  60.91  73.75  74.02
 231.0  63.00  60.91  73.68  73.87
 232.0  63.00  61.24  73.48  73.68
 233.0  63.00  61.24  73.27  73.48
 234.0  63.00  61.24  73.05  73.27
 235.0  63.00  61.24  72.96  73.12
 236.0  63.00  61.24  72.87  72.96
 237.0  63.00  61.24  72.78  72.81
 238.0  63.00  61.24  72.68  72.67
 239.0  63.00  61.24  72.57  72.53
 240.0  63.00  61.24  72.47  72.40
 241.0  63.00  61.56  72.36  72.28
 242.0  63.00  61.56  72.24  72.14
 243.0  63.00  61.56  72.13  71.99
 244.0  63.00  61.56  72.01  71.84
 245.0  63.00  61.56  71.88  71.70
 246.0  63.00  61.56  71.76  71.56
 247.0  63.00  61.56  71.76  71.48
 248.0  63.00  61.56  71.75  71.41
 249.0  63.00  61.88  71.62  71.28
 250.0  63.00  61.56  71.61  71.18
 251.0  63.00  61.88  71.47  71.05
 252.0  63.00  61.88  71.33  70.91
 253.0  63.00  61.88  71.19  70.76
 254.0  63.00  61.88  71.04  70.62
 255.0  63.00  61.88  70.88  70.48
 256.0  63.00  61.88  70.86  70.40
 257.0  63.00  61.88  70.83  70.32
 258.0  63.00  61.88  70.80  70.24
 259.0  63.00  61.88  70.77  70.16
 260.0  63.00  61.88  70.74  70.09
 261.0  63.00  61.88  70.70  70.02
 262.0  63.00  61.88  70.67  69.95
 263.0  63.00  61.88  70.63  69.89
 264.0  63.00  61.88  70.72  69.88
 265.0  63.00  61.88  70.68  69.82
 266.0  63.00  62.20  70.64  69.78
 267.0  63.00  61.88  70.73  69.75
 268.0  63.00  61.88  70.82  69.74
 269.0  63.00  62.20  70.77  69.69
 270.0  63.00  61.88  70.86  69.67
 271.0  63.00  62.20  70.81  69.61
 272.0  63.00  62.20  70.77  69.54
 273.0  63.00  62.20  70.72  69.46
 274.0  63.00  62.20  70.67  69.38
 275.0  63.00  62.20  70.62  69.30
 276.0  63.00  62.20  70.57  69.22
 277.0  63.00  62.20  70.51  69.14
 278.0  63.00  62.20  70.45  69.06
 279.0  63.00  62.20  70.40  68.99
 280.0  63.00  62.20  70.34  68.92
 281.0  63.00  62.20  70.40  68.90
 282.0  63.00  62.20  70.34  68.83
 283.0  63.00  62.20  70.28  68.77
 284.0  63.00  62.20  70.34  68.76
 285.0  63.00  62.20  70.28  68.70
 286.0  63.00  62.20  70.34  68.70
 287.0  63.00  62.20  70.41  68.70
 288.0  63.00  62.20  70.47  68.70
 289.0  63.00  62.20  70.53  68.70
 290.0  63.00  62.20  70.60  68.70
 291.0  63.00  62.20  70.66  68.70
 292.0  63.00  62.20  70.72  68.70
 293.0  63.00  62.20  70.79  68.70
 294.0  63.00  62.53  70.72  68.66
 295.0  63.00  62.20  70.78  68.63
 296.0  63.00  62.20  70.85  68.62
 297.0  63.00  62.20  70.91  68.62
 298.0  63.00  62.20  70.97  68.62
 299.0  63.00  62.53  70.90  68.57
 300.0  63.00  62.20  70.96  68.55
 301.0  63.00  62.20  71.02  68.54
 302.0  63.00  62.53  70.95  68.49
 303.0  63.00  62.20  71.01  68.47
 304.0  63.00  62.53  70.94  68.41
 305.0  63.00  62.53  70.86  68.34
 306.0  63.00  62.53  70.79  68.27
 307.0  63.00  62.53  70.71  68.19
