tm     Tsp    T1     Q1    
  92.1  68.00  36.42 100.00 
  93.1  68.00  36.74 100.00 
  94.0  68.00  37.06 100.00 
  95.0  68.00  37.39 100.00 
  96.0  68.00  37.71 100.00 
  97.0  68.00  38.03 100.00 
  98.1  68.00  38.35 100.00 
  99.0  68.00  38.35 100.00 
 100.1  68.00  38.68 100.00 
 101.0  68.00  39.32 100.00 
 102.1  68.00  39.32 100.00 
 103.0  68.00  39.64 100.00 
 104.0  68.00  39.97 100.00 
 105.0  68.00  40.29 100.00 
 106.1  68.00  40.61 100.00 
 107.0  68.00  40.93 100.00 
 108.0  68.00  41.25 100.00 
 109.0  68.00  41.25 100.00 
 110.1  68.00  41.58 100.00 
 111.0  68.00  41.90 100.00 
 112.0  68.00  42.22 100.00 
 113.0  68.00  42.54 100.00 
 114.0  68.00  42.87 100.00 
 115.0  68.00  42.87 100.00 
 116.0  68.00  43.19 100.00 
 117.0  68.00  43.51 100.00 
 118.1  68.00  43.83 100.00 
 119.0  68.00  44.16 100.00 
 120.0  68.00  44.48 100.00 
 121.0  68.00  44.48 100.00 
 122.1  68.00  44.80 100.00 
 123.0  68.00  45.12 100.00 
 124.1  68.00  45.12 100.00 
 125.1  68.00  45.44 100.00 
 126.0  68.00  45.77 100.00 
 127.0  68.00  46.09 100.00 
 128.1  68.00  46.41 100.00 
 129.0  68.00  46.41 100.00 
 130.1  68.00  46.73 100.00 
 131.0  68.00  47.06 100.00 
 132.0  68.00  47.38 100.00 
 133.0  68.00  47.70 100.00 
 134.1  68.00  47.70 100.00 
 135.0  68.00  48.02 100.00 
 136.1  68.00  48.02 100.00 
 137.0  68.00  48.34 100.00 
 138.0  68.00  48.67 100.00 
 139.0  68.00  48.99 100.00 
 140.1  68.00  48.99 100.00 
 141.1  68.00  49.31 100.00 
 142.0  68.00  49.63 100.00 
 143.1  68.00  49.96 100.00 
 144.0  68.00  49.96 100.00 
 145.0  68.00  50.28 100.00 
 146.1  68.00  50.60 100.00 
 147.1  68.00  50.60 100.00 
 148.0  68.00  50.92 100.00 
 149.0  68.00  50.92 100.00 
 150.0  68.00  51.25 100.00 
 151.1  68.00  51.57 100.00 
 152.1  68.00  51.57 100.00 
 153.0  68.00  51.89 100.00 
