tm     Tsp    T1     Q1    
   0.0  20.95  20.95   0.00   1.56
   6.0  20.95  20.95   0.00   1.56
   7.0  20.95  20.63   0.13   1.61
   8.0  20.95  20.95   0.13   1.63
   9.0  20.95  20.95   0.13   1.64
  10.0  20.95  20.95   0.14   1.64
  11.0  20.95  20.95   0.14   1.63
  12.0  20.95  20.95   0.14   1.62
  13.0  20.95  20.95   0.14   1.61
  14.0  20.95  20.95   0.14   1.60
  15.0  20.95  20.95   0.14   1.60
  16.0  20.95  20.63   0.28   1.64
  17.0  20.95  20.95   0.28   1.66
  18.0  20.95  20.95   0.28   1.65
  19.0  20.95  20.95   0.29   1.64
  20.0  20.95  20.95   0.29   1.63
  21.0  20.95  20.95   0.29   1.61
  22.0  20.95  20.95   0.17   1.61
  23.0  20.95  20.95   0.17   1.60
  24.0  20.95  20.95   0.17   1.60
  25.0  20.95  20.95   0.17   1.59
  26.0  20.95  20.95   0.17   1.58
  27.0  20.95  20.95   0.18   1.57
  28.0  20.95  20.95   0.18   1.57
  29.0  20.95  20.63   0.31   1.61
  30.0  63.00  20.95  17.36  23.22
  31.0  63.00  20.95  34.50  49.96
  32.0  63.00  20.95  51.99  73.40
  33.0  63.00  20.95  69.71  89.82
  34.0  63.00  20.95  87.66  99.32
  35.0  63.00  20.95 100.00 100.00
  36.0  63.00  20.95 100.00 100.00
  37.0  63.00  20.95 100.00 100.00
  38.0  63.00  21.27 100.00 100.00
  39.0  63.00  21.27 100.00 100.00
  40.0  63.00  21.27 100.00 100.00
  41.0  63.00  21.59 100.00 100.00
  42.0  63.00  21.59 100.00 100.00
  43.0  63.00  21.92 100.00 100.00
  44.0  63.00  21.92 100.00 100.00
  45.0  63.00  22.24 100.00 100.00
  46.0  63.00  22.56 100.00 100.00
  47.0  63.00  22.56 100.00 100.00
  48.0  63.00  22.88 100.00 100.00
  49.0  63.00  23.21 100.00 100.00
  50.0  63.00  23.21 100.00 100.00
  51.0  63.00  23.53 100.00 100.00
