tm     Tsp    T1     Q1    
   0.0  20.95  20.95   0.00
   1.1  20.95  20.95   0.00
   2.0  20.95  20.95   0.00
   3.8  20.95  20.63   0.13
   4.8  20.95  20.95   0.13
   5.7  20.95  20.95   0.13
   6.6  20.95  20.95   0.14
   7.6  20.95  20.95   0.14
   8.5  20.95  20.95   0.14
   9.5  20.95  20.95   0.14
  10.4  20.95  20.63   0.27
  11.3  20.95  20.95   0.28
  12.3  20.95  20.95   0.28
  13.1  20.95  20.95   0.28
  14.0  20.95  20.95   0.29
  15.9  20.95  20.95   0.29
  16.8  20.95  20.63   0.42
  17.7  20.95  20.95   0.43
  18.7  20.95  20.95   0.30
  19.6  20.95  20.63   0.44
  20.6  20.95  20.95   0.44
  21.5  20.95  20.95   0.45
  22.4  20.95  20.95   0.45
  23.4  20.95  20.95   0.46
  24.3  20.95  20.63   0.59
  25.1  20.95  20.95   0.47
  26.1  20.95  20.95   0.48
  27.9  20.95  20.95   0.48
  28.9  20.95  20.63   0.62
  29.8  20.95  20.63   0.75
  30.7  58.00  20.95  15.78
  31.7  58.00  20.95  30.87
  32.6  58.00  20.95  46.29
  33.5  58.00  20.95  61.91
  34.5  58.00  20.95  77.60
  35.4  58.00  20.95  93.61
  36.4  58.00  20.95 100.00
  37.0  58.00  20.95 100.00
  38.0  58.00  21.27 100.00
  39.9  58.00  21.27 100.00
  40.9  58.00  21.27 100.00
  41.8  58.00  21.59 100.00
  42.8  58.00  21.92 100.00
  43.7  58.00  21.92 100.00
  44.6  58.00  22.24 100.00
  45.6  58.00  22.24 100.00
  46.5  58.00  22.56 100.00
  47.4  58.00  22.56 100.00
  48.4  58.00  22.88 100.00
  49.3  58.00  23.21 100.00
  50.0  58.00  23.21 100.00
  51.1  58.00  23.53 100.00
  52.0  58.00  23.85 100.00
  54.0  58.00  24.17 100.00
  54.9  58.00  24.49 100.00
  55.8  58.00  24.82 100.00
  56.8  58.00  25.14 100.00
  57.7  58.00  25.46 100.00
  58.6  58.00  25.78 100.00
  59.6  58.00  26.11 100.00
  60.5  58.00  26.11 100.00
  61.0  58.00  26.43 100.00
  62.0  58.00  26.75 100.00
  63.0  58.00  27.07 100.00
  65.0  58.00  27.72 100.00
  65.9  58.00  27.72 100.00
  66.8  58.00  28.36 100.00
  67.8  58.00  28.36 100.00
  68.7  58.00  28.68 100.00
  69.7  58.00  29.01 100.00
  70.6  58.00  29.33 100.00
  71.5  58.00  29.65 100.00
  72.5  58.00  29.97 100.00
  73.4  58.00  30.30 100.00
  74.1  58.00  30.30 100.00
  75.0  58.00  30.94 100.00
