tm     Tsp    T1     Q1    
  58.0  63.00  25.46 100.00 100.00
  59.0  63.00  25.78 100.00 100.00
  60.0  63.00  26.11 100.00 100.00
  61.0  63.00  26.43 100.00 100.00
  62.0  63.00  26.75 100.00 100.00
  63.0  63.00  27.07 100.00 100.00
  64.0  63.00  27.40 100.00 100.00
  65.0  63.00  27.72 100.00 100.00
  66.0  63.00  28.04 100.00 100.00
  67.0  63.00  28.36 100.00 100.00
  68.0  63.00  28.68 100.00 100.00
  69.0  63.00  29.01 100.00 100.00
  70.0  63.00  29.33 100.00 100.00
  71.0  63.00  29.65 100.00 100.00
  72.0  63.00  29.97 100.00 100.00
  73.0  63.00  30.30 100.00 100.00
  74.0  63.00  30.62 100.00 100.00
  75.0  63.00  30.94 100.00 100.00
  76.0  63.00  30.94 100.00 100.00
  77.0  63.00  31.59 100.00 100.00
  78.0  63.00  31.59 100.00 100.00
  79.0  63.00  31.91 100.00 100.00
  80.0  63.00  32.55 100.00 100.00
  81.0  63.00  32.55 100.00 100.00
  82.0  63.00  33.20 100.00 100.00
  83.0  63.00  33.20 100.00 100.00
  84.0  63.00  33.52 100.00 100.00
  85.0  63.00  33.84 100.00 100.00
  86.0  63.00  34.49 100.00 100.00
  87.0  63.00  34.49 100.00 100.00
  88.0  63.00  34.81 100.00 100.00
  89.0  63.00  35.13 100.00 100.00
  90.0  63.00  35.45 100.00 100.00
  91.0  63.00  35.78 100.00 100.00
  92.0  63.00  36.10 100.00 100.00
  93.0  63.00  36.42 100.00 100.00
  94.0  63.00  36.74 100.00 100.00
  95.0  63.00  37.06 100.00 100.00
  96.0  63.00  37.39 100.00 100.00
  97.0  63.00  37.71 100.00 100.00
  98.0  63.00  38.03 100.00 100.00
  99.0  63.00  38.03 100.00 100.00
 100.0  63.00  38.68 100.00 100.00
 101.0  63.00  39.00 100.00 100.00
 102.0  63.00  39.00 100.00 100.00
 103.0  63.00  39.32 100.00 100.00
 104.0  63.00  39.64 100.00 100.00
 105.0  63.00  39.97 100.00 100.00
 106.0  63.00  40.29 100.00 100.00
 107.0  63.00  40.61 100.00 100.00
 108.0  63.00  40.93 100.00 100.00
 109.0  63.00  40.93 100.00 100.00
 110.0  63.00  41.25 100.00 100.00
 111.0  63.00  41.58 100.00 100.00
 112.0  63.00  41.90 100.00 100.00
 113.0  63.00  42.22 100.00 100.00
 114.0  63.00  42.54 100.00 100.00
 115.0  63.00  42.54 100.00 100.00
 116.0  63.00  42.87 100.00 100.00
 117.0  63.00  43.19 100.00 100.00
 118.0  63.00  43.51 100.00 100.00
 119.0  63.00  43.83 100.00 100.00
 120.0  63.00  44.16 100.00 100.00
 121.0  63.00  44.48 100.00 100.00
 122.0  63.00  44.48 100.00 100.00
 123.0  63.00  44.80 100.00 100.00
 124.0  63.00  45.12 100.00 100.00
 125.0  63.00  45.12 100.00 100.00
 126.0  63.00  45.44 100.00 100.00
 127.0  63.00  45.77 100.00 100.00
 128.0  63.00  46.09 100.00 100.00
 129.0  63.00  46.41 100.00 100.00
 130.0  63.00  46.41 100.00 100.00
 131.0  63.00  46.73 100.00 100.00
 132.0  63.00  47.06 100.00 100.00
 133.0  63.00  47.38 100.00 100.00
 134.0  63.00  47.70 100.00 100.00
 135.0  63.00  47.70 100.00 100.00
 136.0  63.00  48.02 100.00 100.00
 137.0  63.00  48.34 100.00 100.00
 138.0  63.00  48.34 100.00 100.00
 139.0  63.00  48.67 100.00 100.00
 140.0  63.00  48.99  99.14 100.00
 141.0  63.00  48.99  98.97 100.00
 142.0  63.00  49.31  98.77 100.00
 143.0  63.00  49.63  98.55 100.00
 144.0  63.00  49.63  98.45 100.00
 145.0  63.00  49.96  98.19 100.00
 146.0  63.00  50.28  97.92 100.00
 147.0  63.00  50.28  97.76 100.00
 148.0  63.00  50.60  97.59 100.00
 149.0  63.00  50.92  97.39 100.00
 150.0  63.00  50.92  97.18 100.00
 151.0  63.00  51.25  96.95 100.00
 152.0  63.00  51.57  96.71 100.00
 153.0  63.00  51.89  96.31 100.00
 154.0  63.00  51.89  96.03 100.00
 155.0  63.00  52.21  95.73 100.00
 156.0  63.00  52.21  95.42 100.00
 157.0  63.00  52.53  95.08  99.87
 158.0  63.00  52.86  94.73  99.45
 159.0  63.00  52.86  94.36  99.01
 160.0  63.00  53.18  93.98  98.56
 161.0  63.00  53.18  93.71  98.14
 162.0  63.00  53.50  93.29  97.69
 163.0  63.00  53.50  92.99  97.25
 164.0  63.00  53.82  92.67  96.82
 165.0  63.00  53.82  92.33  96.38
 166.0  63.00  54.15  91.98  95.94
 167.0  63.00  54.47  91.61  95.50
 168.0  63.00  54.47  91.36  95.08
 169.0  63.00  54.79  90.97  94.62
 170.0  63.00  54.79  90.69  94.19
 171.0  63.00  54.79  90.39  93.76
 172.0  63.00  55.11  90.09  93.34
 173.0  63.00  55.44  89.77  92.91
 174.0  63.00  55.44  89.43  92.47
 175.0  63.00  55.44  89.21  92.06
 176.0  63.00  55.76  88.85  91.62
 177.0  63.00  56.08  88.48  91.18
 178.0  63.00  56.08  88.09  90.72
 179.0  63.00  56.08  87.82  90.31
 180.0  63.00  56.40  87.40  89.86
 181.0  63.00  56.40  87.11  89.45
 182.0  63.00  56.72  86.80  89.04
 183.0  63.00  57.05  86.34  88.59
 184.0  63.00  57.05  86.01  88.15
 185.0  63.00  57.05  85.66  87.72
 186.0  63.00  57.05  85.30  87.29
 187.0  63.00  57.37  84.93  86.88
 188.0  63.00  57.37  84.68  86.50
 189.0  63.00  57.69  84.29  86.09
 190.0  63.00  57.69  83.88  85.66
 191.0  63.00  57.69  83.59  85.28
 192.0  63.00  58.01  83.30  84.91
 193.0  63.00  58.01  82.99  84.53
 194.0  63.00  58.01  82.67  84.16
 195.0  63.00  58.34  82.34  83.79
 196.0  63.00  58.34  82.00  83.42
 197.0  63.00  58.66  81.65  83.06
 198.0  63.00  58.66  81.43  82.73
 199.0  63.00  58.66  81.19  82.39
 200.0  63.00  58.66  80.94  82.06
 201.0  63.00  58.98  80.56  81.69
 202.0  63.00  58.98  80.29  81.37
 203.0  63.00  58.98  80.02  81.04
 204.0  63.00  59.30  79.74  80.72
 205.0  63.00  59.30  79.45  80.40
 206.0  63.00  59.63  79.02  80.02
 207.0  63.00  59.30  78.84  79.73
 208.0  63.00  59.63  78.52  79.41
 209.0  63.00  59.63  78.20  79.09
 210.0  63.00  59.63  78.00  78.81
 211.0  63.00  59.95  77.66  78.50
 212.0  63.00  59.95  77.44  78.23
 213.0  63.00  59.95  77.21  77.95
 214.0  63.00  59.95  76.98  77.67
 215.0  63.00  59.95  76.74  77.41
 216.0  63.00  60.27  76.50  77.16
 217.0  63.00  60.27  76.24  76.89
 218.0  63.00  60.27  75.98  76.63
 219.0  63.00  60.27  75.85  76.41
 220.0  63.00  60.27  75.71  76.21
 221.0  63.00  60.59  75.56  76.01
 222.0  63.00  60.59  75.28  75.75
 223.0  63.00  60.59  75.12  75.54
 224.0  63.00  60.59  74.96  75.33
 225.0  63.00  60.59  74.79  75.13
 226.0  63.00  60.59  74.75  74.98
 227.0  63.00  60.91  74.57  74.79
 228.0  63.00  60.91  74.39  74.58
 229.0  63.00  60.91  74.20  74.37
 230.0  63.00  60.91  74.01  74.17
 231.0  63.00  60.91  73.94  74.02
 232.0  63.00  61.24  73.74  73.82
 233.0  63.00  61.24  73.53  73.61
 234.0  63.00  61.24  73.32  73.40
 235.0  63.00  61.24  73.11  73.19
 236.0  63.00  61.24  73.01  73.04
 237.0  63.00  61.24  72.92  72.88
 238.0  63.00  61.24  72.82  72.74
 239.0  63.00  61.24  72.72  72.59
 240.0  63.00  61.56  72.49  72.41
 241.0  63.00  61.24  72.38  72.26
 242.0  63.00  61.56  72.26  72.13
 243.0  63.00  61.56  72.15  71.99
 244.0  63.00  61.56  72.03  71.84
 245.0  63.00  61.56  71.90  71.70
 246.0  63.00  61.56  71.77  71.57
 247.0  63.00  61.56  71.77  71.49
 248.0  63.00  61.88  71.64  71.36
 249.0  63.00  61.56  71.64  71.26
 250.0  63.00  61.56  71.63  71.18
 251.0  63.00  61.88  71.49  71.05
 252.0  63.00  61.88  71.35  70.91
 253.0  63.00  61.88  71.20  70.77
 254.0  63.00  61.88  71.05  70.63
 255.0  63.00  61.88  71.03  70.54
 256.0  63.00  61.88  70.88  70.40
 257.0  63.00  61.88  70.85  70.32
 258.0  63.00  61.88  70.82  70.24
 259.0  63.00  61.88  70.79  70.17
 260.0  63.00  61.88  70.76  70.09
 261.0  63.00  61.88  70.72  70.02
 262.0  63.00  61.88  70.69  69.96
 263.0  63.00  61.88  70.78  69.94
 264.0  63.00  61.88  70.74  69.88
 265.0  63.00  61.88  70.70  69.82
 266.0  63.00  62.20  70.66  69.78
 267.0  63.00  62.20  70.62  69.71
 268.0  63.00  62.20  70.57  69.63
 269.0  63.00  61.88  70.66  69.59
 270.0  63.00  62.20  70.61  69.53
 271.0  63.00  62.20  70.56  69.45
 272.0  63.00  62.20  70.51  69.38
 273.0  63.00  62.20  70.46  69.29
 274.0  63.00  62.20  70.41  69.21
 275.0  63.00  62.20  70.35  69.13
 276.0  63.00  62.20  70.30  69.06
 277.0  63.00  62.20  70.24  68.98
 278.0  63.00  62.20  70.18  68.91
 279.0  63.00  62.20  70.12  68.84
 280.0  63.00  62.20  70.05  68.78
 281.0  63.00  62.20  70.12  68.78
 282.0  63.00  62.20  70.18  68.77
 283.0  63.00  62.20  70.25  68.76
 284.0  63.00  62.20  70.18  68.70
 285.0  63.00  62.20  70.25  68.70
 286.0  63.00  62.20  70.31  68.70
 287.0  63.00  62.20  70.38  68.70
 288.0  63.00  62.20  70.44  68.70
 289.0  63.00  62.20  70.50  68.70
 290.0  63.00  62.20  70.57  68.70
 291.0  63.00  62.20  70.63  68.70
 292.0  63.00  62.20  70.69  68.70
 293.0  63.00  62.20  70.76  68.70
 294.0  63.00  62.20  70.82  68.70
 295.0  63.00  62.20  70.89  68.70
 296.0  63.00  62.53  70.82  68.66
 297.0  63.00  62.53  70.75  68.59
 298.0  63.00  62.20  70.81  68.55
 299.0  63.00  62.20  70.87  68.54
 300.0  63.00  62.20  70.93  68.53
 301.0  63.00  62.20  70.99  68.53
 302.0  63.00  62.53  70.92  68.49
 303.0  63.00  62.53  70.85  68.42
 304.0  63.00  62.20  70.90  68.39
 305.0  63.00  62.53  70.83  68.33
 306.0  63.00  62.20  70.89  68.31
 307.0  63.00  62.53  70.81  68.25
 308.0  63.00  62.53  70.73  68.19
 309.0  63.00  62.53  70.65  68.12
 310.0  63.00  62.53  70.57  68.05
 311.0  63.00  62.53  70.62  68.03
 312.0  63.00  62.53  70.67  68.01
 313.0  63.00  62.53  70.59  67.93
 314.0  63.00  62.53  70.50  67.85
 315.0  63.00  62.53  70.42  67.78
 316.0  63.00  62.53  70.33  67.72
 317.0  63.00  62.53  70.37  67.71
 318.0  63.00  62.53  70.41  67.70
 319.0  63.00  62.53  70.32  67.63
 320.0  63.00  62.53  70.36  67.63
 321.0  63.00  62.53  70.27  67.57
 322.0  63.00  62.53  70.31  67.57
 323.0  63.00  62.53  70.35  67.57
 324.0  63.00  62.53  70.39  67.57
 325.0  63.00  62.53  70.42  67.57
 326.0  63.00  62.53  70.46  67.57
 327.0  63.00  62.53  70.50  67.57
 328.0  63.00  62.53  70.54  67.57
 329.0  63.00  62.53  70.58  67.57
 330.0  63.00  62.53  70.61  67.57
 331.0  63.00  62.53  70.65  67.57
 332.0  63.00  62.53  70.69  67.57
 333.0  63.00  62.53  70.73  67.57
 334.0  63.00  62.53  70.76  67.57
 335.0  63.00  62.53  70.80  67.57
 336.0  63.00  62.53  70.84  67.57
 337.0  63.00  62.53  70.88  67.57
 338.0  63.00  62.53  70.92  67.57
 339.0  63.00  62.53  70.95  67.57
 340.0  63.00  62.53  70.99  67.57
 341.0  63.00  62.53  71.03  67.57
 342.0  63.00  62.53  71.07  67.57
 343.0  63.00  62.53  71.11  67.57
 344.0  63.00  62.53  71.14  67.57
 345.0  63.00  62.53  71.18  67.57
 346.0  63.00  62.53  71.22  67.57
 347.0  63.00  62.53  71.26  67.57
 348.0  63.00  62.53  71.30  67.57
 349.0  63.00  62.53  71.33  67.57
 350.0  63.00  62.53  71.37  67.57
 351.0  63.00  62.53  71.41  67.57
 352.0  63.00  62.53  71.45  67.57
 353.0  63.00  62.53  71.48  67.57
 354.0  63.00  62.53  71.52  67.57
 355.0  63.00  62.85  71.43  67.52
 356.0  63.00  62.53  71.47  67.49
 357.0  63.00  62.85  71.37  67.44
 358.0  63.00  62.85  71.28  67.36
 359.0  63.00  62.53  71.31  67.33
 360.0  63.00  62.53  71.34  67.31
 361.0  63.00  62.53  71.37  67.31
 362.0  63.00  62.53  71.41  67.31
 363.0  63.00  62.85  71.31  67.26
 364.0  63.00  62.85  71.21  67.20
 365.0  63.00  62.85  71.11  67.12
 366.0  63.00  62.85  71.00  67.04
 367.0  63.00  62.85  70.90  66.96
 368.0  63.00  62.85  70.79  66.88
 369.0  63.00  62.85  70.69  66.81
 370.0  63.00  62.85  70.71  66.79
 371.0  63.00  62.85  70.60  66.72
 372.0  63.00  62.85  70.62  66.71
 373.0  63.00  62.85  70.63  66.69
 374.0  63.00  62.85  70.52  66.61
 375.0  63.00  62.85  70.41  66.53
 376.0  63.00  62.85  70.29  66.47
 377.0  63.00  62.85  70.18  66.40
 378.0  63.00  62.85  70.19  66.40
 379.0  63.00  62.85  70.20  66.40
 380.0  63.00  62.85  70.21  66.40
 381.0  63.00  62.85  70.23  66.40
 382.0  63.00  62.85  70.24  66.40
 383.0  63.00  62.85  70.25  66.40
 384.0  63.00  62.85  70.26  66.40
 385.0  63.00  62.85  70.27  66.40
 386.0  63.00  62.85  70.29  66.40
 387.0  63.00  62.85  70.30  66.40
 388.0  63.00  62.85  70.31  66.40
 389.0  63.00  62.85  70.32  66.40
 390.0  63.00  62.85  70.33  66.40
 391.0  63.00  62.85  70.35  66.40
 392.0  63.00  62.85  70.36  66.40
 393.0  63.00  62.85  70.37  66.40
 394.0  63.00  62.85  70.38  66.40
 395.0  63.00  62.85  70.40  66.40
 396.0  63.00  62.85  70.41  66.40
 397.0  63.00  62.85  70.42  66.40
 398.0  63.00  62.85  70.43  66.40
 399.0  63.00  62.85  70.44  66.40
 400.0  63.00  62.85  70.46  66.40
 401.0  63.00  62.85  70.47  66.40
 402.0  63.00  62.85  70.48  66.40
 403.0  63.00  62.85  70.49  66.40
 404.0  63.00  62.85  70.50  66.40
 405.0  63.00  62.85  70.52  66.40
 406.0  63.00  62.85  70.53  66.40
 407.0  63.00  62.85  70.54  66.40
 408.0  63.00  62.85  70.55  66.40
 409.0  63.00  62.85  70.56  66.40
 410.0  63.00  62.85  70.58  66.40
 411.0  63.00  62.85  70.59  66.40
 412.0  63.00  62.85  70.60  66.40
 413.0  63.00  62.85  70.61  66.40
 414.0  63.00  62.85  70.63  66.40
 415.0  63.00  62.85  70.64  66.40
 416.0  63.00  62.85  70.65  66.40
 417.0  63.00  62.85  70.66  66.40
 418.0  63.00  62.85  70.67  66.40
 419.0  63.00  62.85  70.69  66.40
 420.0  63.00  62.85  70.70  66.40
 421.0  63.00  62.85  70.71  66.40
 422.0  63.00  62.85  70.72  66.40
 423.0  63.00  62.85  70.73  66.40
 424.0  63.00  62.85  70.75  66.40
 425.0  63.00  62.85  70.76  66.40
 426.0  63.00  62.85  70.77  66.40
 427.0  63.00  62.85  70.78  66.40
 428.0  63.00  62.85  70.80  66.40
 429.0  63.00  62.85  70.81  66.40
 430.0  63.00  62.85  70.82  66.40
 431.0  63.00  62.85  70.83  66.40
 432.0  63.00  62.85  70.84  66.40
 433.0  63.00  62.85  70.86  66.40
 434.0  63.00  62.85  70.87  66.40
 435.0  63.00  62.85  70.88  66.40
 436.0  63.00  62.85  70.89  66.40
 437.0  63.00  62.85  70.90  66.40
 438.0  63.00  62.85  70.92  66.40
 439.0  63.00  62.85  70.93  66.40
 440.0  63.00  62.85  70.94  66.40
 441.0  63.00  62.85  70.95  66.40
 442.0  63.00  62.85  70.96  66.40
 443.0  63.00  62.85  70.98  66.40
 444.0  63.00  62.85  70.99  66.40
 445.0  63.00  62.85  71.00  66.40
 446.0  63.00  62.85  71.01  66.40
 447.0  63.00  62.85  71.03  66.40
 448.0  63.00  62.85  71.04  66.40
 449.0  63.00  62.85  71.05  66.40
 450.0  63.00  62.85  71.06  66.40
 451.0  63.00  62.85  71.07  66.40
 452.0  63.00  62.85  71.09  66.40
 453.0  63.00  62.85  71.10  66.40
 454.0  63.00  62.85  71.11  66.40
 455.0  63.00  62.85  71.12  66.40
 456.0  63.00  62.85  71.13  66.40
 457.0  63.00  62.85  71.15  66.40
 458.0  63.00  62.85  71.16  66.40
 459.0  63.00  62.85  71.17  66.40
 460.0  63.00  62.85  71.18  66.40
 461.0  63.00  62.85  71.20  66.40
 462.0  63.00  63.17  71.08  66.36
 463.0  63.00  62.85  71.09  66.33
 464.0  63.00  63.17  70.97  66.27
 465.0  63.00  62.85  70.98  66.24
 466.0  63.00  62.85  70.98  66.23
 467.0  63.00  62.85  70.99  66.23
 468.0  63.00  62.85  71.00  66.23
 469.0  63.00  62.85  71.01  66.23
 470.0  63.00  63.17  70.89  66.18
 471.0  63.00  62.85  70.90  66.16
 472.0  63.00  62.85  70.90  66.15
 473.0  63.00  62.85  70.91  66.15
 474.0  63.00  62.85  70.92  66.16
 475.0  63.00  62.85  70.92  66.17
 476.0  63.00  62.85  70.93  66.18
 477.0  63.00  63.17  70.94  66.20
 478.0  63.00  63.17  70.81  66.14
 479.0  63.00  63.17  70.82  66.12
 480.0  63.00  63.17  70.69  66.03
 481.0  63.00  63.17  70.57  65.95
 482.0  63.00  62.85  70.57  65.91
 483.0  63.00  63.17  70.44  65.85
 484.0  63.00  62.85  70.44  65.83
 485.0  63.00  63.17  70.44  65.84
 486.0  63.00  63.17  70.31  65.77
 487.0  63.00  62.85  70.31  65.73
 488.0  63.00  63.17  70.17  65.68
 489.0  63.00  63.17  70.04  65.61
 490.0  63.00  63.17  69.91  65.54
 491.0  63.00  63.17  69.77  65.48
 492.0  63.00  63.17  69.76  65.48
 493.0  63.00  63.17  69.75  65.47
 494.0  63.00  62.85  69.87  65.51
 495.0  63.00  62.85  70.00  65.58
 496.0  63.00  62.85  70.12  65.65
 497.0  63.00  63.17  69.99  65.62
 498.0  63.00  63.17  69.98  65.62
 499.0  63.00  62.85  69.98  65.61
 500.0  63.00  63.17  69.97  65.63
 501.0  63.00  63.17  69.97  65.63
 502.0  63.00  62.85  69.96  65.61
 503.0  63.00  63.17  69.96  65.64
 504.0  63.00  63.17  69.95  65.64
 505.0  63.00  62.85  70.08  65.69
 506.0  63.00  63.17  70.07  65.71
 507.0  63.00  63.17  70.07  65.70
 508.0  63.00  63.17  70.07  65.69
 509.0  63.00  63.17  69.93  65.61
 510.0  63.00  63.17  69.80  65.54
 511.0  63.00  63.17  69.66  65.47
 512.0  63.00  62.85  69.78  65.51
 513.0  63.00  63.17  69.78  65.52
 514.0  63.00  62.85  69.77  65.51
 515.0  63.00  63.17  69.76  65.53
 516.0  63.00  63.17  69.76  65.53
 517.0  63.00  63.17  69.62  65.47
 518.0  63.00  63.17  69.61  65.47
 519.0  63.00  63.17  69.60  65.46
 520.0  63.00  62.85  69.59  65.44
 521.0  63.00  62.85  69.72  65.51
 522.0  63.00  62.85  69.84  65.59
 523.0  63.00  63.17  69.83  65.63
 524.0  63.00  62.85  69.96  65.69
 525.0  63.00  63.17  69.96  65.71
 526.0  63.00  63.17  69.95  65.71
 527.0  63.00  62.85  69.95  65.69
 528.0  63.00  62.85  70.08  65.75
 529.0  63.00  62.85  70.08  65.77
 530.0  63.00  63.17  70.07  65.80
 531.0  63.00  63.17  70.07  65.81
 532.0  63.00  62.85  70.20  65.86
 533.0  63.00  63.17  70.20  65.87
 534.0  63.00  63.17  70.20  65.86
 535.0  63.00  62.85  70.20  65.83
 536.0  63.00  62.85  70.20  65.83
 537.0  63.00  62.85  70.20  65.84
 538.0  63.00  62.85  70.33  65.91
 539.0  63.00  62.85  70.33  65.93
 540.0  63.00  62.85  70.47  66.00
 541.0  63.00  62.85  70.60  66.07
 542.0  63.00  62.85  70.61  66.08
 543.0  63.00  62.85  70.61  66.09
 544.0  63.00  63.17  70.49  66.06
 545.0  63.00  63.17  70.49  66.07
 546.0  63.00  62.85  70.62  66.10
 547.0  63.00  62.85  70.63  66.10
 548.0  63.00  62.85  70.76  66.17
 549.0  63.00  62.85  70.90  66.23
 550.0  63.00  62.85  70.91  66.23
 551.0  63.00  63.17  70.79  66.18
 552.0  63.00  62.85  70.80  66.16
 553.0  63.00  62.85  70.80  66.15
 554.0  63.00  63.17  70.68  66.10
 555.0  63.00  62.85  70.68  66.08
 556.0  63.00  63.17  70.56  66.03
 557.0  63.00  62.85  70.56  66.01
 558.0  63.00  62.85  70.57  66.01
 559.0  63.00  62.85  70.70  66.08
 560.0  63.00  62.85  70.84  66.14
 561.0  63.00  63.17  70.71  66.10
 562.0  63.00  62.85  70.72  66.08
 563.0  63.00  63.17  70.59  66.03
 564.0  63.00  62.85  70.60  66.01
 565.0  63.00  62.85  70.60  66.01
 566.0  63.00  63.17  70.60  66.02
 567.0  63.00  62.85  70.61  66.01
 568.0  63.00  63.17  70.48  65.96
 569.0  63.00  63.17  70.48  65.95
 570.0  63.00  62.85  70.48  65.93
 571.0  63.00  63.17  70.48  65.93
 572.0  63.00  62.85  70.49  65.90
 573.0  63.00  62.85  70.49  65.90
 574.0  63.00  62.85  70.49  65.91
 575.0  63.00  62.85  70.49  65.92
 576.0  63.00  63.17  70.49  65.94
 577.0  63.00  62.85  70.50  65.93
 578.0  63.00  63.17  70.50  65.94
 579.0  63.00  62.85  70.50  65.93
 580.0  63.00  62.85  70.50  65.93
 581.0  63.00  63.17  70.50  65.95
 582.0  63.00  62.85  70.50  65.94
 583.0  63.00  62.85  70.64  66.01
 584.0  63.00  63.17  70.64  66.03
 585.0  63.00  63.17  70.51  65.96
 586.0  63.00  62.85  70.65  65.99
 587.0  63.00  62.85  70.65  65.98
 588.0  63.00  62.85  70.65  65.98
 589.0  63.00  63.17  70.53  65.94
 590.0  63.00  63.17  70.40  65.89
 591.0  63.00  63.17  70.40  65.88
 592.0  63.00  62.85  70.40  65.85
 593.0  63.00  63.17  70.40  65.85
 594.0  63.00  63.17  70.27  65.78
 595.0  63.00  63.17  70.13  65.71
 596.0  63.00  62.85  70.26  65.74
 597.0  63.00  63.17  70.13  65.69
 598.0  63.00  63.17  70.00  65.63
 599.0  63.00  63.17  69.99  65.62
 600.0  63.00  62.85  70.12  65.65
 601.0  63.00  63.17  69.98  65.60
 602.0  63.00  62.85  69.98  65.58
 603.0  63.00  62.85  69.97  65.59
 604.0  63.00  63.17  69.97  65.62
 605.0  63.00  63.17  69.96  65.63
 606.0  63.00  63.17  69.96  65.63
 607.0  63.00  63.17  69.82  65.56
 608.0  63.00  62.85  69.94  65.60
 609.0  63.00  63.17  69.94  65.62
 610.0  63.00  63.17  69.93  65.62
 611.0  63.00  62.85  69.93  65.61
 612.0  63.00  62.85  70.06  65.67
 613.0  63.00  62.85  70.18  65.74
 614.0  63.00  63.17  70.18  65.77
 615.0  63.00  63.17  70.05  65.71
 616.0  63.00  63.17  70.05  65.70
 617.0  63.00  62.85  70.04  65.68
 618.0  63.00  62.85  70.04  65.68
 619.0  63.00  62.85  70.17  65.76
 620.0  63.00  63.17  70.16  65.80
 621.0  63.00  62.85  70.29  65.85
 622.0  63.00  62.85  70.42  65.92
 623.0  59.00  63.17  68.67  64.23
 624.0  59.00  63.17  67.03  62.13
 625.0  59.00  62.85  65.50  60.10
 626.0  59.00  63.17  63.68  58.22
 627.0  59.00  62.85  61.98  56.63
 628.0  59.00  63.17  60.12  55.18
 629.0  59.00  62.85  58.50  53.93
 630.0  59.00  63.17  56.73  52.63
 631.0  59.00  63.17  54.94  51.26
 632.0  59.00  62.85  53.12  49.75
 633.0  59.00  62.85  51.29  48.18
 634.0  59.00  62.85  49.43  46.55
 635.0  59.00  62.85  47.69  45.02
 636.0  59.00  62.85  45.79  43.47
 637.0  59.00  62.85  43.87  42.11
 638.0  59.00  62.85  43.68  42.23
 639.0  59.00  62.85  43.50  42.34
 640.0  59.00  62.85  43.18  42.35
 641.0  59.00  62.85  43.00  42.47
 642.0  59.00  62.53  42.82  42.54
 643.0  59.00  62.53  42.77  42.75
 644.0  59.00  62.53  42.59  42.86
 645.0  59.00  62.53  42.54  43.09
 646.0  59.00  62.53  42.50  43.32
 647.0  59.00  62.20  42.46  43.49
 648.0  59.00  62.20  42.43  43.70
 649.0  59.00  62.20  42.40  43.93
 650.0  59.00  62.20  42.37  44.17
 651.0  59.00  62.20  42.35  44.41
 652.0  59.00  62.20  42.33  44.67
 653.0  59.00  61.88  42.44  44.97
 654.0  59.00  61.88  42.56  45.30
 655.0  59.00  61.88  42.68  45.65
 656.0  59.00  61.88  42.81  45.99
 657.0  59.00  61.56  42.94  46.28
 658.0  59.00  61.56  43.08  46.61
 659.0  59.00  61.56  43.23  46.95
 660.0  59.00  61.24  43.51  47.35
 661.0  59.00  61.24  43.79  47.77
 662.0  59.00  61.24  43.96  48.11
 663.0  59.00  61.24  44.12  48.46
 664.0  59.00  60.91  44.43  48.86
 665.0  59.00  60.91  44.74  49.30
 666.0  59.00  60.91  45.06  49.74
 667.0  59.00  60.91  45.38  50.18
 668.0  59.00  60.59  45.71  50.58
