Q1,T1,Tsp
16.78406400000003,20.949499999999997,23.67
17.00605680000003,20.949499999999997,23.67
17.40433800000003,20.949499999999997,23.67
17.61327240000003,20.949499999999997,23.67
17.817854000000032,20.949499999999997,23.67
18.026788400000033,20.949499999999997,23.67
18.22484080000003,20.949499999999997,23.67
18.425069600000032,20.949499999999997,23.67
18.623122000000034,20.949499999999997,23.67
18.829880000000035,20.949499999999997,23.67
19.027932400000033,20.949499999999997,23.67
19.225984800000035,20.949499999999997,23.67
19.432742800000035,20.949499999999997,23.67
17.683124560000024,21.2718,23.67
17.859632080000022,21.2718,23.67
18.218402800000025,21.2718,23.67
18.392991760000022,21.2718,23.67
18.575254960000024,21.2718,23.67
18.755599600000025,21.2718,23.67
18.932107120000023,21.2718,23.67
17.151093360000033,21.594099999999997,23.67
17.308861760000035,21.594099999999997,23.67
17.468290880000033,21.594099999999997,23.67
17.627720000000032,21.594099999999997,23.67
17.787149120000034,21.594099999999997,23.67
17.946578240000036,21.594099999999997,23.67
18.106007360000035,21.594099999999997,23.67
16.298466560000023,21.9164,23.67
16.424725760000022,21.9164,23.67
16.559402240000022,21.9164,23.67
16.82033792000002,21.9164,23.67
100.0,21.9164,41.0
100.0,22.238699999999998,41.0
100.0,22.238699999999998,41.0
100.0,22.238699999999998,41.0
100.0,22.561,41.0
100.0,22.561,41.0
100.0,22.561,41.0
100.0,22.8833,41.0
100.0,22.8833,41.0
100.0,23.205599999999997,41.0
100.0,23.205599999999997,41.0
100.0,23.5279,41.0
100.0,23.5279,41.0
100.0,24.1725,41.0
100.0,24.1725,41.0
100.0,24.494799999999998,41.0
100.0,24.817099999999996,41.0
100.0,25.1394,41.0
100.0,25.461699999999997,41.0
100.0,25.461699999999997,41.0
98.72680832000002,25.784,41.0
97.93684448000002,26.106299999999997,41.0
97.13378512000003,26.4286,41.0
96.24871888000003,26.750899999999998,41.0
97.29745264000003,26.750899999999998,41.0
96.41094800000005,27.073199999999996,41.0
95.47843920000001,27.3955,41.0
94.53283488000002,27.717799999999997,41.0
94.51710008,28.0401,41.0
93.51342744000002,28.362399999999997,41.0
92.51559024000001,28.6847,41.0
91.48366384000002,29.006999999999998,41.0
90.44617360000004,29.329299999999996,41.0
89.38393072000002,29.6516,41.0
88.28811432000003,29.973899999999997,41.0
87.17636616000001,30.2962,41.0
86.03986536000002,30.618499999999997,41.0
84.87861192000003,30.940799999999996,41.0
85.60287432000004,30.940799999999996,41.0
84.39349968000002,31.263099999999998,41.0
83.15261424000003,31.585399999999996,41.0
81.88073368000002,31.9077,41.0
82.55720080000002,31.9077,41.0
79.95337672000004,32.552299999999995,41.0
78.60460552,32.8746,41.0
77.2700836,33.1969,41.0
75.89883976000003,33.5192,41.0
76.44344200000003,33.5192,41.0
75.03078080000003,33.841499999999996,41.0
73.60012512000004,34.163799999999995,41.0
72.17180376000002,34.4861,41.0
72.66164904000001,34.4861,41.0
71.18850408000003,34.8084,41.0
69.69138000000004,35.1307,41.0
70.12336048000003,35.1307,41.0
68.60225728000005,35.452999999999996,41.0
67.04881544000006,35.775299999999994,41.0
65.86802408000003,36.0976,41.0
66.24452840000001,36.0976,41.0
64.66248008000002,36.4199,41.0
63.05567912000003,36.7422,41.0
63.37927192000003,36.7422,41.0
61.75086672000004,37.064499999999995,41.0
60.09456048000005,37.386799999999994,41.0
60.372054240000054,37.386799999999994,41.0
58.69099536000002,37.7091,41.0
58.92530744000002,37.7091,41.0
57.20762152000003,38.0314,41.0
57.43323512000003,38.0314,41.0
55.69208576000004,38.353699999999996,41.0
55.89320456000004,38.353699999999996,41.0
54.12673256000005,38.675999999999995,41.0
54.295919760000054,38.675999999999995,41.0
52.51585032000002,38.9983,41.0
50.826570960000026,39.3206,41.0
50.952861840000025,39.3206,41.0
49.123287120000036,39.6429,41.0
49.220998320000035,39.6429,41.0
49.324137920000034,39.6429,41.0
47.46815488000004,39.965199999999996,41.0
47.544316160000044,39.965199999999996,41.0
47.619649600000045,39.965199999999996,41.0
45.738859600000055,40.287499999999994,41.0
45.791869600000055,40.287499999999994,41.0
45.843739600000056,40.287499999999994,41.0
43.93865832000002,40.6098,41.0
43.997344400000024,40.6098,41.0
42.06854184000003,40.9321,41.0
42.07353928000003,40.9321,41.0
42.07869968000003,40.9321,41.0
42.08353416000003,40.9321,41.0
42.08847728000003,40.9321,41.0
40.13574992000004,41.2544,41.0
40.11702608000004,41.2544,41.0
38.14078096000005,41.576699999999995,41.0
40.05606064000004,41.2544,41.0
38.07889280000005,41.576699999999995,41.0
38.03737040000005,41.576699999999995,41.0
37.95432560000005,41.576699999999995,41.0
35.95292080000006,41.898999999999994,41.0
37.84381432000005,41.576699999999995,41.0
37.80183056000005,41.576699999999995,41.0
35.798268160000056,41.898999999999994,41.0
35.728505760000054,41.898999999999994,41.0
35.662339360000054,41.898999999999994,41.0
35.59689216000005,41.898999999999994,41.0
35.53072576000005,41.898999999999994,41.0
35.46168256000006,41.898999999999994,41.0
35.396235360000055,41.898999999999994,41.0
33.37352472000002,42.2213,41.0
33.19374936000002,42.2213,41.0
33.10483872000002,42.2213,41.0
33.01104288000002,42.2213,41.0
32.91627000000002,42.2213,41.0
